run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
subtrain,active_enhancers_vs_inactive_enhancers,A549,9,0.22609512283343386,71,0,6,6,2,2,0.07906446102164756,128,1,6,2,2,1,0.053331139665451235,0,0,0.14166296554101654,0,7,0.21134890578452895,0.943064510822296,0.0,0.0,0.7275381088256836,0.1729842722415924,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,9,0.22609512283343386,71,0,6,6,2,2,0.07906446102164756,128,1,6,2,2,1,0.053331139665451235,0,0,0.14166296554101654,0,7,0.2101672939956188,0.9431167244911194,0.0,0.0,0.7339273691177368,0.19301310181617734,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,0,0.07513328010885678,42,2,4,6,2,1,0.09226079720202783,71,0,3,5,2,2,0.15145389031724812,0,49,0.2884390142033043,1,21,0.310165801320594,0.8968512415885925,0.0,0.0,0.8119666576385498,0.33597970008850103,0.0,0.5,1.0,1.0,0.0,0.0
test,active_promoters_vs_inactive_promoters,A549,0,0.07513328010885678,42,2,4,6,2,1,0.09226079720202783,71,0,3,5,2,2,0.15145389031724812,0,49,0.2884390142033043,1,21,0.3278700886647912,0.8968814015388489,0.0,0.0,0.760924220085144,0.2429635673761368,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_promoters_vs_inactive_promoters,A549,0,0.07513328010885678,42,2,4,6,2,1,0.09226079720202783,71,0,3,5,2,2,0.15145389031724812,0,49,0.2884390142033043,1,21,0.3107376967072487,0.8968446254730225,0.0,0.0,0.8113330602645874,0.3358868658542633,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_promoters_vs_inactive_promoters,A549,0,0.07513328010885678,42,2,4,6,2,1,0.09226079720202783,71,0,3,5,2,2,0.15145389031724812,0,49,0.2884390142033043,1,21,0.3090263948081032,0.8968775272369385,0.0,0.0,0.8144739270210266,0.3360084891319275,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,1,0.06291060597967356,71,2,8,1,2,1,0.05208837904382596,0,3,5,6,2,1,0.3814511223177521,1,21,0.05224147953336253,0,21,0.3314720581705197,0.8980151414871216,0.044164039194583886,0.5732283592224121,0.8047236800193787,0.3313583731651306,0.0820096880197525,0.5201911926269531,0.9962183833122252,0.9558359384536744,0.0037816416006535287,0.13832934200763702
test,active_promoters_vs_inactive_promoters,A549,1,0.06291060597967356,71,2,8,1,2,1,0.05208837904382596,0,3,5,6,2,1,0.3814511223177521,1,21,0.05224147953336253,0,21,0.34364003112798996,0.8957300782203674,0.023786406964063644,0.4049586653709412,0.7672653794288635,0.25648802518844604,0.04493351653218269,0.5098839402198792,0.9959814548492432,0.9762135744094848,0.004018529783934355,0.07747966796159744
subtrain,active_promoters_vs_inactive_promoters,A549,1,0.06291060597967356,71,2,8,1,2,1,0.05208837904382596,0,3,5,6,2,1,0.3814511223177521,1,21,0.05224147953336253,0,21,0.3307907989025116,0.8980022668838501,0.04488929361104965,0.5714285969734192,0.8053483366966248,0.3336561620235443,0.0832395926117897,0.5205084681510925,0.9961276054382324,0.955110728740692,0.003872385714203119,0.13915471732616425
valid,active_promoters_vs_inactive_promoters,A549,1,0.06291060597967356,71,2,8,1,2,1,0.05208837904382596,0,3,5,6,2,1,0.3814511223177521,1,21,0.05224147953336253,0,21,0.33120227191183305,0.8980664610862732,0.04126213490962982,0.5811966061592102,0.8022135496139526,0.32237914204597473,0.07705382257699966,0.5189217329025269,0.9965813159942628,0.9587378501892091,0.0034186842385679483,0.1350015103816986
